"Codi";"Sigles";"Vots";"percent"
"08304";"No";"7";"1,18"
"08304";"En blanc";"7";"1,18"
"08304";"Altres";"19";"3,21"
"25005";"Sí - Sí";"142";"88,20"
"25005";"Sí - No";"10";"6,21"
"25005";"Sí - En blanc";"1";",62"
"25005";"No";"0";",00"
"25005";"En blanc";"1";",62"
"25005";"Altres";"7";"4,35"
"25032";"Sí - Sí";"38";"95,00"
"25032";"Sí - No";"1";"2,50"
"25032";"Sí - En blanc";"1";"2,50"
"25032";"No";"0";",00"
"25032";"En blanc";"0";",00"
"25032";"Altres";"0";",00"
"25044";"Sí - Sí";"103";"89,57"
"25044";"Sí - No";"5";"4,35"
"25044";"Sí - En blanc";"1";",87"
"25044";"No";"3";"2,61"
